机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2005-04-23,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,1260553705.14,455943.93,8576634.93,1269586284,142994882.35,87945173.94,532790492.8,263574681.81,1027305230.9,242281053.1,,,,,0,,101989194.91,,,,0,101989194.91,-101989194.91,,,,0,,,13693935.66,0,13693935.66,-13693935.66,,,126597922.53,2898327418.85,3024925341.38,,,383941417.26,,15524717.93,42500.01,967986.57,,,,-3746924.02,187658.6,,,53328812.76,-37039192.3,-222974212.29,52048288.58,242281053.1,,,,0,,3024925341.38,2898327418.85,,,0,126597922.53,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2005-08-17,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,2076306245.1,528725.1,15031118.34,2091866088.54,375489465.93,127127345.04,887310376.69,265334389.59,1655261577.25,436604511.29,,,,,0,,242680051.99,,,,0,242680051.99,-242680051.99,,,,0,,,27037107.96,0,27037107.96,-27037107.96,,,166887351.34,2898327418.85,3065214770.19,,,502705034.94,,31667890.95,84999.84,4623317.43,,,,-8107880.45,-23718.23,,,25559734.65,-30390522.33,-119581813.96,30067468.45,436604511.29,,,,0,,3065214770.19,2898327418.85,,,0,166887351.34,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2005-10-25,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,3318894379.77,528725.1,17871918.03,3337295022.9,392909166.24,167395485.75,1245294702.98,647975575.64,2453574930.61,883720092.29,,,,,,,388631291.39,,,,,388631291.39,-388631291.39,,,,,,,176408943,,176408943,-176408943,,,318679857.9,2898327418.85,3217007276.75,,,734632419.82,,14382986.7,84999.84,2203602.24,,,,-14225903.98,-23718.23,,,9748865.66,-82831092.43,180779657.61,38968275.06,883720092.29,,,,0,,3217007276.75,2898327418.85,,,0,318679857.9,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2006-04-05,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,4976668595.34,50557133.43,16087755.58,5043313484.35,950764775.72,250797895.85,1600737072.95,547306251.51,3349605996.03,1693707488.32,,,,,,,540843725.72,,,,,540843725.72,-540843725.72,,,,32502077.9,32502077.9,,191703825.82,,191703825.82,-159201747.92,,,993662014.68,2898327418.85,3891989433.53,,,1169122125.71,-1324018.35,64659106.39,1721214.26,12051388.76,,,,-32264593.95,-427953.6,,,-166808430.13,-86411335,739535163.92,-6145179.69,1693707488.32,,,,0,,3891989433.53,2898327418.85,,,0,993662014.68,,,,,,,,,,,,,,,,,,
