机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2007-04-29,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,1961548939.66,,36324558.93,1997873498.59,312227426.81,184609700.68,980951193.45,139542111.57,1617330432.51,380543066.08,,,,,,,182658817.77,17000000,,,,199658817.77,-199658817.77,,,,213750,213750,,-166334.65,,-166334.65,380084.65,,,181264332.96,1697004107.01,1878268439.97,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2007-08-17,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,3382733993.41,2952037.45,48316812.99,3434002843.85,566986527.26,308683973.48,1657337134.6,215182150.96,2748189786.3,685813057.55,,,,,,,332503082.61,17000000,,,,349503082.61,-349503082.61,,,,247996.59,247996.59,,900000,14063.7,914063.7,-666067.11,,,335643907.83,4474221148.33,4809865056.16,,,893948241.41,1317514.09,49772665.39,3214603.12,4580442.62,-98880,149474.44,,1864264.06,-859950,14525569.27,0,-139118319.89,-29402802.81,-114079764.15,,685813057.55,,,,,,4809865056.16,4474221148.33,,,,335643907.83,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2007-10-22,2007-01-01,2007-09-30,2007-09-30,合并本期,定期报告,5298220603.11,2952037.45,48906293.12,5350078933.68,776996775.72,425064074.29,2318043878.67,281714970.12,3801819698.8,1548259234.88,,,,,,,545583793.12,17000000,,,,562583793.12,-562583793.12,,,,280402.72,280402.72,,706791456.46,,706791456.46,-706511053.74,,,279164388.02,4474221148.33,4753385536.35,,,0,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2008-03-12,2007-01-01,2007-12-31,2007-12-31,合并本期,定期报告,7437754281.34,,95684682.11,7533438963.45,1098306968.33,623333896.62,3602532438.23,465962448.89,5790135752.07,1743303211.38,,,,,,,772456652.49,17000000,,,,789456652.49,-789456652.49,,,,1504621,1504621,,706866028.2,,706866028.2,-705361407.2,,,248485151.69,4474221148.33,4722706300.02,,,2966052508.95,-614738.65,103823977.32,8419605.26,65846168.6,900998.31,3146711.19,,-2019007.08,-1814950,117243937.53,0,-323901731.4,71616599.29,-1265396867.94,,1743303211.38,,,,,,4722706300.02,4474221148.33,,,,248485151.69,,,,,,,,,,,,,,,,,,
