机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2011-04-23,2011-01-01,2011-03-31,2011-03-31,合并本期,定期报告,6544163647.09,0,58272718.18,6602436365.27,656095092.99,542976591.21,1776810163.43,215422597.79,3191304445.42,3411131919.85,,0,40000,,11199977.29,11239977.29,300691471.88,0,,,11610276.94,312301748.82,-301061771.53,0,,,25385.15,25385.15,,,0,,25385.15,,,3110095533.47,12888393889.29,15998489422.76,,,0,,0,,,,,,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2011-08-31,2011-01-01,2011-06-30,2011-06-30,合并本期,定期报告,11546468176.97,0,76591966.85,11623060143.82,1030579091.21,994367300.42,3826918770.02,443297147.09,6295162308.74,5327897835.08,,3010000,40000,,67947203.27,70997203.27,747055064.27,0,,,28350508.44,775405572.71,-704408369.44,0,,,50701.92,50701.92,,220246678.33,0,220246678.33,-220195976.41,,,4403293489.23,12888393889.29,17291687378.52,,,5166306192.53,-1568169.42,158950782.42,5646985.7,863163.66,,-886934.94,,-50701.92,-3196500,-5882723.61,0,-341487204.91,-8014324.88,357217270.45,0,5327897835.08,,,,,,17291687378.52,12888393889.29,,,,4403293489.23,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2011-10-18,2011-01-01,2011-09-30,2011-09-30,合并本期,定期报告,18023629691.34,0,97912339.33,18121542030.67,1482300477.04,1375305648.62,5539023164.5,697974762.21,9094604052.37,9026937978.3,,3010000,40000,,74601849.82,77651849.82,1234305197.84,0,,,40917766.84,1275222964.68,-1197571114.86,0,,,76963.31,76963.31,,2429511457.97,0,2429511457.97,-2429434494.66,,,5399932368.78,12888393889.29,18288326258.07,,,0,,0,,,,,,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2012-04-11,2011-01-01,2011-12-31,2011-12-31,合并本期,定期报告,23659131281.08,0,181674213.04,23840805494.12,2353687717.48,1925571991.79,8286279154.84,1126701940.48,13692240804.59,10148564689.53,,3010000,41600,,212533826.84,215585426.84,2184528163.11,0,,,151475313.64,2336003476.75,-2120418049.91,0,,,102972.37,102972.37,,2661953339.24,0,2661953339.24,-2661850366.87,,,5366296272.75,12888393889.29,18254690162.04,,,9250323807.62,-2500650.57,331356736.88,11855582.22,4896216.72,,-888534.94,,-102972.37,-3383000,-224191011.56,,-1612991469.44,-148673263.2,2542863248.17,0,10148564689.53,,,,,,18254690162.04,12888393889.29,,,,5366296272.75,,,,,,,,,,,,,,,,,,
