机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2006-04-22,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,1609268366.94,0,3211361.84,1612479728.78,241303988.43,127066708.01,856934433.24,164970351.27,1390275480.95,222204247.83,,,,,0,,104814535.87,,,,0,104814535.87,-104814535.87,,,,1326877.87,1326877.87,,34997836.48,0,34997836.48,-33670958.61,,,83718753.35,3891989433.53,3975708186.88,,,468272659.71,,20555222.16,141331.29,2098114.34,,,,-2819139.21,,,,59104895.24,61337918.35,-431268983.51,44782229.46,222204247.83,,,,0,,3975708186.88,3891989433.53,,,0,83718753.35,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2006-08-23,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,2736888169.08,56235.55,37415664.25,2774360068.88,384969462.19,177284970.92,1366763575,250470447.87,2179488455.98,594871612.9,,,,,,,311944622.33,,,,,311944622.33,-311944622.33,,,,453219.79,453219.79,,756269723.23,,756269723.23,-755816503.44,,,-472889512.87,3891989433.53,3419099920.66,,,634070818.38,,40854031.59,303570.91,4187782.96,,,,453219.79,-144435.36,,,5269726.93,9089548.3,-97220238.28,-1992412.32,594871612.9,,,,,,3419099920.66,3891989433.53,,,0,-472889512.87,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2006-10-25,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,4457700568.53,0,26227246.15,4483927814.68,517881887.75,255688947,1847406928.63,372820777.5,2993798540.88,1490129273.8,,,,,0,,544313686.76,,,,0,544313686.76,-544313686.76,,,,3910207.92,3910207.92,,757807440.15,0,757807440.15,-753897232.23,,,191918354.81,3891989433.53,4083907788.34,,,994698504.14,,62546557.29,507627.19,6440605.77,,,,-2960704.31,-144435.36,,,-22958058.31,-46409210.6,447257943.27,51150444.72,1490129273.8,,,,,,4083907788.34,3891989433.53,,,0,191918354.81,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2007-04-03,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,6140872490.1,0,41497583.01,6182370073.11,804488570.85,403859477.3,2387944330.87,480906660.4,4077199039.42,2105171033.69,,,5950,,0,5950,737075587.28,41000000,,,0,778075587.28,-778069637.28,,,,4146323.1,4146323.1,,760139114.4,0,760139114.4,-755992791.3,,,571108605.11,3891989433.53,4463098038.64,,,1574308238.46,,84717392.17,3228097.47,8744492.69,,,,-3977754.65,-3012928.94,,,-101199764.44,-45784689.46,587303605.69,844344.7,2105171033.69,,,,,,4463098038.64,3891989433.53,,,0,571108605.11,,,,,,,,,,,,,,,,,,
