机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2009-04-21,2009-01-01,2009-03-31,2009-03-31,合并本期,定期报告,1870765265.03,,93036877.43,1963802142.46,295729558.55,461410921.19,1143406307.36,194020050.61,2094566837.71,-130764695.25,,,,,,,288879016.69,10000000,,,,298879016.69,-298879016.69,,,,42952.08,42952.08,,1800000,,1800000,-1757047.92,,,-431400759.86,8093721891.16,7662321131.3,,,0,,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2009-08-07,2009-01-01,2009-06-30,2009-06-30,合并本期,定期报告,4198651823.6,,103692193.19,4302344016.79,567740503.57,655373497.21,2152814873.57,378227302.01,3754156176.36,548187840.43,25000000,2080397.26,,,,27080397.26,689017762.13,10000000,,,,699017762.13,-671937364.87,,,,87389.22,87389.22,,174251384.73,,174251384.73,-174163995.51,,,-297913519.95,8093721891.16,7795808371.21,,,2928842256.25,442604,89093818.81,5728173.5,4684138.12,,8880.69,,-601548.09,-734797.26,82943236.9,0,-141652769.32,-133667894.11,-2286898259.06,,548187840.43,,,,,,7795808371.21,8093721891.16,,,,-297913519.95,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2009-10-24,2009-01-01,2009-09-30,2009-09-30,合并本期,定期报告,7459722509.06,,106560447.36,7566282956.42,922300963.46,898644456.09,3088600128.55,579195315.1,5488740863.2,2077542093.22,25000000,2080397.26,,,,27080397.26,1058500946.42,10000000,,,,1068500946.42,-1041420549.16,,,,130941.18,130941.18,,1234693813.6,,1234693813.6,-1234562872.42,,,-198441328.36,8093721891.16,7895280562.8,,,0,,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2010-04-02,2009-01-01,2009-12-31,2009-12-31,合并本期,定期报告,11756243820.83,,185888008.21,11942131829.04,1557075938.7,1229305038.48,4160350102.49,771463605.18,7718194684.85,4223937144.19,25000000,2080397.26,,,,27080397.26,1356601530.09,10000000,,,,1366601530.09,-1339521132.83,,,,158121.82,158121.82,,1235143869.1,,1235143869.1,-1234985747.28,,,1649430264.08,8093721891.16,9743152155.24,,,4552888944,-300085.01,187387081.41,11552408.13,8627818.88,,227122.97,,-158121.82,-1209447.26,-48739824.6,0,-1077678627.03,-671596539.44,1262936413.96,,4223937144.19,,,,,,9743152155.24,8093721891.16,,,,1649430264.08,,,,,,,,,,,,,,,,,,
