机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2003-04-25,2003-01-01,2003-03-31,2003-03-31,合并本期,,627432958.79,0,1706571.35,629139530.14,88592882.36,43095006.03,395885115.44,92454339.64,620027343.47,9112186.67,0,0,0,,0,0,106650497.18,0,,,0,106650497.18,-106650497.18,0,0,,0,0,0,-2188358.43,0,-2188358.43,2188358.43,0,,-95349952.08,1780307690.64,1684957738.56,,,217609019.5,0,23864812.8,42500.01,642970.9,0,7741.71,,-2188358.43,0,0,0,46630996.52,16140256.75,-308344721.63,14706968.54,9112186.67,,,0,0,,1684957738.56,1780307690.64,0,0,0,-95349952.08,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2003-07-30,2003-01-01,2003-06-30,2003-06-30,合并本期,,1153018889.14,0,8787961.44,1161806850.58,312930923.05,76906046.65,652486510.1,153449308.06,1195772787.86,-33965937.28,,0,,,,,201234233.88,0,,,,201234233.88,-201234233.88,0,,,,,,8858203.84,0,8858203.84,-8858203.84,,,-244058375,1780307690.64,1536249315.64,,,252520818.55,,35569491.77,85000.02,1638442.04,,8291.71,,-4371087.49,,,,-112299075.68,80674002.53,-332427872.83,44636052.1,-33965937.28,,,,,,1536249315.64,1780307690.64,,,0,-244058375,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2003-10-30,2003-01-01,2003-09-30,2003-09-30,合并本期,,2080861242.06,601388,30213826.34,2111676456.4,412688201.74,116178529.7,878669971.22,264761095.2,1672297797.86,439378658.54,0,0,0,,0,0,299863886.41,0,,,0,299863886.41,-299863886.41,0,0,,0,0,0,51029499.06,0,51029499.06,-51029499.06,0,,88485273.07,1780307690.64,1868792963.71,,,354499724.25,,47752591.53,127500.03,2483546,0,8291.71,,-12123039.8,,0,0,-125743547.61,-55287599.17,145640158.97,82021032.63,439378658.54,,,,0,,1868792963.71,1780307690.64,0,0,0,88485273.07,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2004-03-26,2003-01-01,2003-12-31,2003-12-31,合并本期,定期报告,3057788375.35,81417405.4,44909156.74,3184114937.49,638529865.4,205782831.25,985931576.96,412164421.8,2242408695.41,941706242.08,0,,0,,0,0,334880557.62,,,,0,334880557.62,-334880557.62,,0,,300000,300000,0,47385988.25,0,47385988.25,-47085988.25,0,,559739696.21,1780307690.64,2340047386.85,,,608753496.06,2052540.39,58391200.81,170000.04,5297418.04,0,0,,-16050225.99,0,0,,-138394032.53,-65987645.46,486448732.68,1024758.04,941706242.08,,,,0,,2340047386.85,1780307690.64,0,0,0,559739696.21,,,,,,,,,,,,,,,,,,
