机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2008-04-21,2008-01-01,2008-03-31,2008-03-31,合并本期,定期报告,2560048958.8,,170134056.73,2730183015.53,282490555.58,231677868.47,1027796155.85,195531279.68,1737495859.58,992687155.95,21000000,2123100,,,,23123100,174666400.53,,,,,174666400.53,-151543300.53,,,,593163.85,593163.85,,,,,593163.85,,,841737019.27,4722706300.02,5564443319.29,,,0,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2008-08-28,2008-01-01,2008-06-30,2008-06-30,合并本期,定期报告,4568988857.14,,191274102.34,4760262959.48,529788503.56,391783564.12,2044537000,298472484.82,3264581552.5,1495681406.98,21000000,2123100,,,,23123100,409784280.75,,,,,409784280.75,-386661180.75,,,,630430.56,630430.56,,766485126.01,,766485126.01,-765854695.45,,,343165530.78,4722706300.02,5065871830.8,,,2351939273.63,-1411074.74,70037352.95,3361247.64,6441361.31,,3118790.2,,-1310147.72,-720100,3752810.71,0,-138655736.42,3332575.91,-804204946.49,,1495681406.98,,,,,,5065871830.8,4722706300.02,,,,343165530.78,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2008-10-27,2008-01-01,2008-09-30,2008-09-30,合并本期,定期报告,7405857676.63,,211905093.26,7617762769.89,794495241.8,558262259.68,2758978699.12,437420881.12,4549157081.72,3068605688.17,21000000,2123100,50000,,,23173100,643869405.12,,,,,643869405.12,-620696305.12,,,,684568.43,684568.43,,769284456.96,,769284456.96,-768599888.53,,,1679309494.52,4722706300.02,6402015794.54,,,0,,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2009-03-25,2008-01-01,2008-12-31,2008-12-31,合并本期,定期报告,11275230701.85,,242355759.12,11517586460.97,1214717814.83,809386845.15,3666868792.1,579124473.15,6270097925.23,5247488535.74,21000000,2123100,50000,,,23173100,1010735786.04,5000000,,,,1015735786.04,-992562686.04,,,,761176.07,761176.07,,884671434.63,,884671434.63,-883910258.56,,,3371015591.14,4722706300.02,8093721891.16,,,4000759343.11,450078.22,147042974.23,6995493.68,10613073.47,,3241808.24,,-761176.07,-1322250,-123831417.11,0,-809748865.41,-94515474.36,2108564947.74,,5247488535.74,,,,,,8093721891.16,4722706300.02,,,,3371015591.14,,,,,,,,,,,,,,,,,,
