机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2016-04-21,2016-01-01,2016-03-31,2016-03-31,合并本期,定期报告,15490821766.28,,25710726.48,16728239559.62,874194565.59,1617022189.58,5171171353.86,501895480.78,9292195224.64,7436044334.98,,,117322,,2153315.11,2270637.11,367086565.33,,,,56529387.61,423615952.94,-421345315.83,,,,,,,508507286.54,,508507286.54,-508507286.54,88199.83,,6506279932.44,34780485904.57,41286765837.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991023712.88,,,,,,,220683353.98,,,120000000,975793267.2,,32118367.63,,,508507286.54,
"	600519",贵州茅台,2016-08-27,2016-01-01,2016-06-30,2016-06-30,合并本期,定期报告,25749880783.76,,39694537.32,28074194799.57,1304317657.36,2698571545.01,8862965658.95,779362014.27,14470232515.58,13603962283.99,,,73845,,3956396.91,4030241.91,496606045.55,,,,62932043.91,559538089.46,-555507847.55,,,,,,,3283073780.99,,3283073780.99,-3283073780.99,92483.7,,9765473139.15,34780485904.57,44545959043.72,,,9377202963.15,5536334.93,417647140.02,40081010.55,5681522.13,,-43123.46,,,,260090725.32,,-431629401.96,2009494366.98,1919900746.33,,13603962283.99,,,,,,44545959043.72,34780485904.57,,,,9765473139.15,1712069372.82,,,,,,,572550105.67,,,-156039425.53,943737469.24,,37317596.28,,,508507286.54,
"	600519",贵州茅台,2016-10-29,2016-01-01,2016-09-30,2016-09-30,合并本期,定期报告,46386049733.35,,50756687.76,53826471257.83,1690057834.95,3702135185.6,12916742077.71,1153033860.08,21291138626.14,32535332631.69,,,75180,,5447356,5522536,775269285.34,,,,3740639.78,779009925.12,-773487389.12,,,,,,,8284063910.35,,8284063910.35,-8284063910.35,129834.15,,23477911166.37,34780485904.57,58258397070.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6513496165.39,,,,,,,876168671.33,,,154228431.78,1593510450.03,,81430785.99,,,532067286.54,
"	600519",贵州茅台,2017-04-15,2016-01-01,2016-12-31,2016-12-31,合并本期,定期报告,61012964102.54,,189142723.95,67279145637.93,2773020403.27,4674154236.66,17510516331.2,2371486776.88,29827895990.88,37451249647.05,,,92084.5,,5562351.19,5654435.69,1019178136.92,,,,88977102.97,1108155239.89,-1102500804.2,16000000,,,,16000000,,8350512252.23,,8350512252.23,-8334512252.23,72317.8,,28014308908.42,34780485904.57,62794794812.99,,,17930643109.88,12327496.22,842728072.04,80457895.99,11008704.17,0,1869869.13,0,0,0,-590203046.54,0,-2608954802.85,7669650565.84,14101721783.17,,37451249647.05,,0,0,0,,62794794812.99,34780485904.57,0,0,,28014308908.42,4811196033,,,,,,,1265842778.44,,,42393350.8,2340362436.74,,115962455.33,,,532067286.55,
