机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600519",贵州茅台,2004-04-29,2004-01-01,2004-03-31,2004-03-31,合并本期,定期报告,825380774.66,0,7883619.9,833264394.56,258467411.8,32225261.68,574275212.45,149679880.5,1014647766.43,-181383371.87,0,0,0,,0,0,73503913.55,0,,,0,73503913.55,-73503913.55,0,0,,0,0,0,-5959082.68,0,-5959082.68,5959082.68,0,,-248928202.74,2340258782.85,2091330580.11,,,271330791.21,0,12725361.8,42500.01,1638077.44,0,0,,-6747422.23,0,0,,-64313445.97,6273634.73,-443826421.5,41493552.64,-181383371.87,,,,0,,2091330580.11,2340258782.85,0,0,0,-248928202.74,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2004-07-28,2004-01-01,2004-06-30,2004-06-30,合并本期,定期报告,1459948868.5,347141.04,13482072.14,1473778081.68,345839931.79,100417771.72,803325280.52,262179631.78,1511762615.81,-37984534.13,0,0,0,,0,0,138326737.52,0,,,0,138326737.52,-138326737.52,0,0,,0,0,0,-9054041.39,0,-9054041.39,9054041.39,0,,-167257230.26,2340047386.85,2172790156.59,,,364062064.43,0,26579528.53,85000.02,2416531.69,0,0,,-9958861.97,0,0,,-103549319.19,-37056787.13,-326694844.04,46132153.53,-37984534.13,,,,0,,2172790156.59,2340047386.85,0,0,0,-167257230.26,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2004-10-20,2004-01-01,2004-09-30,2004-09-30,合并本期,定期报告,2471054635.85,0,24243813.72,2495298449.57,572967651.7,121521637.47,1088327949.67,339806043.23,2122623282.07,372675167.5,0,0,0,,0,,228190946.83,0,,,0,228190946.83,-228190946.83,0,0,,0,0,0,65242641.06,0,65242641.06,-65242641.06,0,,79241579.61,2340047386.85,2419288966.46,,,538075474.88,0,40655791.49,127500.03,2772944.12,0,627297.24,,-22307046.38,0,0,,-301491174.8,-93010654.28,108602758.23,98622276.97,372675167.5,,,,0,,2419288966.46,2340047386.85,0,0,0,79241579.61,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2005-04-23,2004-01-01,2004-12-31,2004-12-31,合并本期,定期报告,3646470061.61,123262072.51,47576179.27,3817308313.39,864365999.46,159838716.74,1298348904.97,518970212.02,2841523833.19,975784480.2,,,,,,,355190020.75,,,,,355190020.75,-355190020.75,,,,,,,62314427.45,,62314427.45,-62314427.45,,,558280032,2340047386.85,2898327418.85,,,854172175.46,761947.03,55088524.05,171205.04,11374067.69,,210396.99,,-25348043.32,-315063.71,,,-478734574.06,-55960435.45,611487337.72,2876942.76,975784480.2,,,,0,,2898327418.85,2340047386.85,,,0,558280032,,,,,,,,,,,,,,,,,,
