机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
"	600519",贵州茅台,2011-04-23,2011-03-31,2011-03-31,合并本期,定期报告,15998489422.76,,175868596.7,997308.9,1609203876.23,101048054.41,,39447517.81,,5831734652.08,,,0,23756789428.89,0,60000000,,4000000,,4218762324.31,312224946.49,13359601.05,,,,467473261.34,,,18202831.82,310887789.67,0,5404910754.68,29161700183.57,,0,,105625766.65,6343640233.49,315369564.19,707250314.52,,318584196.29,820549084.17,,,0,8611019159.31,,,,10000000,,,,10000000,8621019159.31,943800000,1374964415.72,2176754189.47,,,,15787250430.54,20282769035.73,257911988.53,,,20540681024.26,29161700183.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2011-08-31,2011-06-30,2011-06-30,合并本期,定期报告,17291687378.52,,216485295.28,2298535.27,1861395541.03,54398087.07,,127606199.03,,5915613288.33,,,0,25469484324.53,0,60000000,,4000000,,4268588603.66,341962470.41,8457630.38,,,,465496995.37,,,17838414.5,284320662.58,0,5450664776.9,30920149101.43,,0,,103561187.98,4934943749.88,236869502,996570725.11,,2269077517.96,814640531.35,,,0,9355663214.28,,,,19530000,,,,19530000,9375193214.28,943800000,1374964415.72,2206854637.22,,,,16609592149.39,21135211202.33,409744684.82,,,21544955887.15,30920149101.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2011-10-18,2011-09-30,2011-09-30,合并本期,定期报告,18288326258.07,,296850744.08,2119216.68,1911544400.13,79529417.68,,176109284.02,,6232185752.04,,,0,26986665072.7,0,60000000,,4000000,,4703882763.38,293041026.48,9193593.08,,,,464193004.39,,,16893673.4,356389121.9,0,5907593182.63,32894258255.33,,0,,256736972.69,6818054223.34,224194887.57,1426862877.28,,225593890.95,839515287.22,,,0,9790958139.05,,,,19530000,,,,19530000,9810488139.05,1038180000,1374964415.72,2206854637.22,,,,18177119652.08,22797118705.02,286651411.26,,,23083770116.28,32894258255.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2012-04-11,2011-12-31,2011-12-31,合并本期,定期报告,18254690162.04,,252101396.08,2225396.48,1861027424.03,47287488.89,,225182760.05,,7187117552.86,,,0,27829632180.43,,60000000,,4000000,,5426012349.61,251446326.43,4918294.64,,,,808425512.33,,,13805361.44,502628950.53,0,7071236794.98,34900868975.41,,,,172343585.06,7026648776.8,577522908.06,788080887.25,,,916123206.95,,,0,9480719364.12,,,,16770000,,,0,16770000,9497489364.12,1038180000,1374964415.72,2640916373.35,,,,19937119181.96,24991179971.03,412199640.26,,0,25403379611.29,34900868975.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
