机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
"	600519",贵州茅台,2003-04-25,2003-03-31,2003-03-31,合并本期,,1684957738.56,0,5500000,59698287.53,44653680.18,43280775.79,,0,0,1045879054.34,,0,0,2883969536.4,,0,,4000000,,453833289.7,536385132.75,0,0,,,382499.91,,,25173397.5,0,0,1019774319.86,3903743856.26,0,,0,92997296.13,187242571.18,45728489.82,286129646.39,,55577521.6,135595654.83,,0,0,803271179.95,0,0,0,,,0,0,0,803271179.95,275000000,2014320830.54,275280085.32,,,,505853609.79,3040436374.99,30018150.66,0,,3070454525.65,3903743856.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2003-07-30,2003-06-30,2003-06-30,合并本期,,1536249315.64,0,20242382,32813851.63,12250634.33,42772809.88,,,,1203247938.14,,,0,2847576931.62,,,,4000000,,445032882.23,617706515.55,,6730,,,339999.9,,,25847208.4,,0,1092933336.08,3940510267.7,,,,30349687.07,433056612.35,47550824.86,109352208.83,,55577521.6,139850240.45,,,0,815737095.16,,,0,,,,0,0,815737095.16,275000000,2014386490.54,341440996.34,,,,474604497.83,3086090796.88,19341187.83,,,3105431984.71,3940510267.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2003-10-30,2003-09-30,2003-09-30,合并本期,定期报告,1868792963.71,0,71795352.8,30028932.35,10516779.17,103749765.35,,0,0,1215900105.02,,0,0,3300783898.4,,0,,4000000,,436222878.81,697188715.03,0,6730,,,297499.89,,,28195069.55,0,0,1165910893.28,4466694791.68,0,,0,45095250.13,815649277.53,49277141.65,150755322.22,,1212795.36,173188379.45,,0,0,1235178166.34,0,0,0,0,,0,0,0,1235178166.34,275000000,2014419320.54,341468411.02,,,,575940966.96,3182140771.7,24687926.82,0,,3206828698.52,4466694791.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600519",贵州茅台,2004-03-26,2003-12-31,2003-12-31,合并本期,定期报告,2340047386.85,0,46540363.6,27486075.27,6176790.79,120120496.11,,0,0,1215006621.05,,0,651300.25,3756029033.92,,0,,4000000,,440813831.83,721652502.1,0,6730,,,256204.88,,,33607508.12,0,0,1200336776.93,4956365810.85,0,,0,40004706.01,745368392.5,55513753.5,425108388.79,,1212795.36,213109026.89,,0,5224656.87,1485541719.92,0,0,0,300000,,0,0,300000,1485841719.92,302500000,2014484980.54,424392228.41,,,,697765263.59,3439142472.54,31381618.39,0,0,3470524090.93,4956365810.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
