机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
"	600519",贵州茅台,2018-04-28,2018-01-01,2018-03-31,2018-03-31,合并本期,定期报告,18395256845.96,17466166384.96,1543892737.78,1518592897.51,2525570612.47,945090499.2,1204204773.65,,-3460582.58,2280412.48,,,,,,12177678392.96,,2230584.69,7376224.07,,,12172532753.58,3041997000.28,,9130535753.3,8506906678.2,623629075.1,,6.77,6.77,-482072.99,9130053680.31,8506424605.21,623629075.1,929090461,,,25215075.52,84764.75,,,,,,
"	600519",贵州茅台,2018-08-02,2018-01-01,2018-06-30,2018-06-30,合并本期,定期报告,35251464783.33,33396709893.11,3074568935.12,3025025121.38,4639999858.67,2199587993.36,2460415497.4,,-4224584.95,1221263.23,,,,,,22879895820.5,,6714437.7,166643463.82,,,22719966794.38,5798614348.8,,16921352445.58,15764185782.66,1157166662.92,,12.55,12.55,-1112190.02,16920240255.56,15763073592.64,1157166662.92,1854754890.22,,,49367487.19,176326.55,,,,,,
"	600519",贵州茅台,2018-10-29,2018-01-01,2018-09-30,2018-09-30,合并本期,定期报告,54969266451.42,52241669986.01,4733754787.46,4637055449.21,7855685465.07,2845576568.3,3684290694.19,,-4384064.29,1221263.23,,,,,,35837919227.6,,10719272.19,271320093.52,,,35577318406.27,9005963447.6,,26571354958.67,24733552720.33,1837802238.34,,19.69,19.69,1472775.26,26572827733.93,24735025495.59,1837802238.34,2727596465.41,,,96386984.02,312354.23,,,,,,
"	600519",贵州茅台,2019-03-29,2018-01-01,2018-12-31,2018-12-31,合并本期,定期报告,77199384110.22,73638872388.03,6659364000.96,6522921833.77,11288926846.97,2572076872.16,5325940762.24,,-3521209.23,1289685.01,,,,,,51342987681.18,,11619526.11,527003759.82,,,50827603447.47,12997985690.66,,37829617756.81,35203625263.22,2625992493.59,,28.02,28.02,335850.7,37829953607.51,35203961113.92,2625992493.59,3559634363.7,,877358.49,136317779.84,124387.35,,,,,,
