机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
"	600519",贵州茅台,2015-04-21,2015-01-01,2015-03-31,2015-03-31,合并本期,定期报告,8760367928.22,8544273436,593983798.61,579796944.52,806537815.96,242599825.82,919920409,,-6472977.66,-200793.38,,332169.86,,,,6204332019.73,,499998,2815794.51,15764.6,,6202016223.22,1573695806.31,,4628320416.91,4364901720.89,263418696.02,,3.82,3.82,-10342175.05,4617978241.86,4354559545.84,263418696.02,,,,,,,,,,,
"	600519",贵州茅台,2015-08-28,2015-01-01,2015-06-30,2015-06-30,合并本期,定期报告,16185651569.47,15778647465.95,1193685370.43,1165878006.33,1443140055.82,592014002.75,1827131652.26,,-18995600.11,404373.28,,3342169.86,,,,11151613884.9,,712903.58,2893260.58,38842.93,,11149433527.9,2784913019.29,,8364520508.61,7888232276.17,476288232.44,,6.91,6.91,-14289160.19,8350231348.42,7873943115.98,476288232.44,,,,,,,,,,,
"	600519",贵州茅台,2015-10-23,2015-01-01,2015-09-30,2015-09-30,合并本期,定期报告,23734319250.48,23148688960.89,1795602737.32,1747047687.23,2171605445.23,935401479.03,2592580782.23,,-52132054.3,150533.28,,3868919.86,,,,16294979247.55,,1151762.29,133901458.09,38842.93,,16162229551.75,4035440224.88,,12126789326.87,11424637743.71,702151583.16,,9.09,9.09,-11853282.28,12114936044.59,11412784461.43,702151583.16,585200289.59,,430000,48479878.93,75171.16,,,,,,1566.32
"	600519",贵州茅台,2016-03-24,2015-01-01,2015-12-31,2015-12-31,合并本期,定期报告,33446859045.58,32659583725.28,2612559241.17,2538337449.06,3449170637.4,1484961519.21,3812852076.19,,-67266800.97,-540313.39,,3869276.9,,,,22158991962.87,,4823183.32,162100184.85,188439.42,,22001714961.34,5546718336.12,,16454996625.22,15503090276.38,951906348.84,,12.34,12.34,-12415031.48,16442581593.74,15490675244.9,951906348.84,786545320.3,,730000,74159619.28,62172.83,,,,,,205859.28
