机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
"	600519",贵州茅台,2017-04-25,2017-01-01,2017-03-31,2017-03-31,合并本期,定期报告,13913411369.3,13308639084.87,1210143009.07,1176997676.07,1973301671.93,852434090.09,1122230514.33,,-29494286.28,-5356392.4,,,,,,8790152762.56,,1770099.69,36882434.3,69414.6,,8755040427.95,2210206968.88,,6544833459.07,6123119324.13,421714134.94,,4.87,4.87,511001.79,6545344460.86,6123630325.92,421714134.94,604319454.24,,452830.19,33093150.24,52182.76,,,,,,
"	600519",贵州茅台,2017-07-28,2017-01-01,2017-06-30,2017-06-30,合并本期,定期报告,25493896745.03,24190030218.96,2580303928.97,2511228414.91,3419416545.5,1378870495.32,2032246237.88,,-37505205.88,-3205173.03,,,,,,16123769916.27,,5597183.83,45837582.1,115399.49,,16083529518,4039090821.97,,12044438696.03,11250860929.71,793577766.32,,8.96,8.96,3447000.51,12047885696.54,11254307930.22,793577766.32,1303413695.88,,452830.19,68959093.04,116421.02,,,,,,
"	600519",贵州茅台,2017-10-26,2017-01-01,2017-09-30,2017-09-30,合并本期,定期报告,44487374571.44,42450467500.01,4380983483.32,4273438303.5,6423976199.89,1977910933.9,3115038946.76,,-39273204.75,-8205173.03,,,,,,28636943385.35,,9775757.86,153881485.17,2096268.03,,28492837658.04,7131368591.23,,21361469066.81,19983846984.1,1377622082.71,,15.91,15.91,4011233.4,21365480300.21,19987858217.5,1377622082.71,2036322165.77,,584905.66,107339266.35,205913.47,,,,,,
"	600519",贵州茅台,2018-03-28,2017-01-01,2017-12-31,2017-12-31,合并本期,定期报告,61062756866.16,58217861314.17,6075699547.03,5940436371.97,8404214470.69,2986068544.99,4720542820.14,,-55722346.19,-8053703.95,,,,,,38940007533.45,,12201990.51,212137381.36,,,38740072142.6,9733648906.6,,29006423236,27079360255.74,1927062980.26,,21.56,21.56,3839265.16,29010262501.16,27083199520.9,1927062980.26,2844310646.33,,584905.66,135187797.06,75378,,,,,,
